Korean,English 
희망자 ,"""prospect ; candidate ; seeker"""
흐름,"""flow ; stream ; passage ; tendency ; inclination"""
희생자 ,"""victim ; casualty"""
휴양지 ,"""resort ; getaway ; holiday destination"""
흙,"""soil; earth"""
힘껏,"""with all one's might; as far as one can"""
흩어지다 ,"""scatter; disperse"""
흘러내리다 ,"""flow down; roll down; run down; slide down; slip down"""
힘없이 ,"""weakly; feebly; powerlessly; helplessly"""
흘러가다 ,"""flow; run; float; move"""
흔하다,"""common; common place"""
흉내 ,"""imitation; mimicry"""
흔적,"""trace; mark"""
힘차다 ,"""strong; powerful; vigorous"""
힘쓰다,"""work hard; try hard; focus on; help; support; strive; work; endeavor"""
흘러나오다,"""come out; ooze; flow out; flow; stream; leak; arise; emanate; exude"""
흡수,"""absorption; intake"""
흥미롭다,"""interesting; exciting"""
흑백,"""black and white; monochrome; right and wrong"""
흥미,"""interest; curiosity"""
흥분,"""excitement; thrill; rage"""
희다,"""white"""
희생,"""sacrifice"""
흔들리다,"""wave; sway; flap; shake; shake; rock; ring; be shaken; be swayed"""
흔히,"""often; commonly; usually"" "
휴대,"""being portable"""
훈련 ,"""training; drill; discipline"""
활동적,"""being active; being energetic"""
활용,"""use; utilization; conjugation"""
효율적,"""efficient, effective"""
효과적,"""effective"""
효도,"""filial piety"""
회화,"""talk; dialogue; conversation; chat; speaking"""
화해,"""reconciliation; settlement; compromise"""
환하다,"""bright; light; radiant; open; clear; obvious"""
확보,"""securing; obtaining; reserve"""
화면,"""picture; image; screen; monitor"" "
화분,"""flower pot"" "
화장지 ,"""facial tissue; kleenex"""
호주머니 ,"""pocket"" "
후회스럽다,"""regretful; remorseful; repentant"""
호두,"""walnut"""
회장,"""president; chairman; chief executive"""
회담,"""talk; meeting"""
휴가철,"""holiday season; vacation season"""
훔치다,"""steal; rob"""
후보,"""candidate; candidacy; nomination; substitue; reserve"""
호실,"""room"""
호흡,"""breathing; breath; teamwork; being one with"""
효자,"""filial son; devoted son"""
홍수,"""torrents; flood; torrent"""
효과,"""effect"""
홀수 ,"""odd number"""
환율,"""exchange rate"""
회복,"""recovery; revitalization; getting better; restoration; regaining"""
횟수 ,"""number of times; frequency"" "
확대,"""expansion; extension; enlargement"""
환상,"""illusion; fantasy"""
활기 ,"""vitality; energy; life"""
호기심,"""curiosity; inquisitiveness"""
혼내다,"""scold; rebuke; punish"""
홍보,"""promotion; publicity; advertisement"""
후식,"""dessert"""
회창하다,"""mild; temperate"""
활짝,"""completely; thoroughly; straightly; openly; clearly; without interruptions"""
후반,"""second half; latter part"""
환상적,"""being illusionary; being dreamy; being fantastic"""
활발하다,"""lively; cheerful; outgoing; vigorous; active; busy"""
화폐,"""currency; money"""
환경,"""environment; condition; situation; circumstances"""
화장대,"""dressing table; makeup table"""
혼나다 ,"""struggle; have a hard time; be dying; be scolded; be rebuked; be punished"""
형편,"""situation; state; condition; circumstances"" "
혹은,"""or; if not; sometimes; from time to time"""
확신,"""belief; conviction; confidence"""
확장,"""expansion; extension; broadening"""
환영회 ,"""welcome party; reception"""
확산,"""spread; dispersion; diffusion; proliferation"""
호감,"""good feeling; favorable impression; feeling favorably"" "
확,"""strongly; powerfully; suddenly; instantly; fiercely; abruptly"""
화재,"""fire"""
화제,"""topic; title; subject"""
텅,"""emptily; vacantly"""
표면,"""surface; outside"""
하품,"""yawn"""
해수욕장,"""beach"""
파출소 ,"""police substation"" "
한꺼번에 ,"""at a stroke; at one blow; all at once; at the same time; all together"" "
형식 ,"""form; formality; style; pattern; format; template"""
탁자,"""table"""
품,"""chest width; inner chest pocket; arms; bosom"""
한겨울,"""midwinter"""
털,"""hair; feather; wool; fluff"""
형성,"""formation; building; development"""
폭설,"""heavy snow; high snowfall"""
한계,"""limit; boundary"""
턱,"""chin; jaws"""
푸다,"""draw from; scoop up; laddle"""
피해자,"""victim; sufferer"""
탈출,"""escape"""
대안,"""alternative; solution; measure"" "
파도,"""wave; social movement; strong impulse"""
대두하다,"""emerge; rise; come to the fore"" "
대두,"""emergence; risel coming to the fore"" "
행하다,"""do; conduct; perform; act"""
한창,"""at the peak; in bloom; at one's height"""
하차,"""getting off; alighting"" "
판사,"""judge"" "
펼치다 ,"""open; spread out; unfold; unroll; spread out; present"" "
비록,"""even though; although"" "
풍부하다,"""rich; abundant"""
통신,"""communication; correspondence"""
헌,"""old; wornout; second-hand; used"""
특징,"""distinct characteristic; peculiarity; feature"" "
펼쳐지다,"""be opened; be spread out; be unfolded; be unrolled; be revealed"" "
학용품,"""stationery; writing supplies"" "
학문,"""learning; study"""
틈 ,"""diantara"" "
해설,"""explanation; interpretation; commentary"" "
해변,"""seashore; coast; seaside; beach"" "
필수적,"""being essential; being required; being indispensable"""
탑승,"""boarding"" "
토하다,"""vomit"" "
하여튼,"""in any case; anyway"""
한층,"""more; much more; far more"" "
판단,"""judgement; decision"""
합리적,"""being rational; being reasonable"" "
택하다,"""select; choose"" "
해당,"""being relevant; being competent; being related; being applicable"""
풍선,"""balloon; rubber balloon"""
파다,"""dig; inscribe; cut around"""
해돋이 ,"""sunrise"""
표준어 ,"""official language"""
평범하다,"""ordinary; usual; common"""
풀리다,"""be untied; be relieved; be weakened; be settled; to come true"" "
협력,"""cooperation; collaboration; working together"" "
한눈,"""one glance; one look"""
퍽,"""quite; very much"" "
행위,"""act; action; conduct; deed"""
해내다 ,"""win; defeat; make it; achieve; pull off; manage"""
통,"""completely; entirely"""
필수품,"""necessities; essentials"""
현대적,"""modern; modernistic"""
품다,"""embrace; brood; incubate; keep; conceal"""
행정,"""administration"""
품질,"""quality"""
